ID,Name,District,Total Voters,Male Count,Female Count,3rd Gender
"228","Radhapuram","Tirunelveli",244480,120458,124000,22
"74","Viluppuram","Viluppuram",244080,118786,125218,76
"36","Uthiramerur","Kancheepuram",243922,118564,125300,58
"54","Veppanahalli","Krishnagiri",243875,123389,120449,37
"234","Killiyoor","Kanniyakumari",243837,123143,120678,16
"61","Harur","Dharmapuri",243742,121453,122264,25
"42","Arcot","Ranipet",243565,119107,124429,29
"133","Vedasandur","Dindigul",241813,118236,123573,4
"76","Tirukkoyilur","Viluppuram",241003,121023,119948,32
"217","Ottapidaram","Thoothukudi",240988,117432,123502,54
"70","Gingee","Viluppuram",240957,119278,121651,28
"176","Pattukkottai","Thanjavur",240954,115354,125580,20
"10","Thiruvottiyur","Thiruvallur",240586,117181,123289,116
"47","Vaniyambadi","Tirupattur",240220,118457,121713,50
"154","Panruti","Cuddalore",240048,116476,123504,68
"218","Kovilpatti","Thoothukudi",240017,116317,123673,27
"160","Sirkazhi","Mayiladuthurai",239469,118809,120647,13
"64","Kilpennathur","Tiruvannamalai",238913,117840,121058,15
"68","Cheyyar","Tiruvannamalai",238283,117159,121115,9
"152","Vriddhachalam","Cuddalore",237836,118319,119495,22
"132","Dindigul","Dindigul",237679,114893,122765,21
"106","Gobichettipalayam","Erode",237581,113378,124190,13
"57","Palacodu","Dharmapuri",237476,119611,117845,20
"127","Palani","Dindigul",237359,115728,121582,49
"52","Bargur","Krishnagiri",237349,117135,120197,17
"219","Sankarankovil","Tenkasi",236532,114876,121639,17
"156","Kurinjipadi","Cuddalore",236297,116013,120238,46
"89","Salem (North)","Salem",236088,114816,121224,48
"56","Thalli","Krishnagiri",235984,120000,115947,37
"140","Tiruchirappalli (West)","Tiruchirappalli",235903,113050,122817,36
"107","Bhavanisagar","Erode",235584,113755,121806,23
"94","Namakkal","Namakkal",235351,113217,122093,41
"44","Anaikattu","Vellore",234738,113833,120863,42
"144","Manachanallur","Tiruchirappalli",234217,113256,120924,37
"232","Padmanabhapuram","Kanniyakumari",234056,116895,117142,19
"49","Jolarpet","Tirupattur",233830,115656,118154,20
"51","Uthangarai","Krishnagiri",233500,116918,116541,41
"209","Paramakudi","Ramanathapuram",233433,115701,117714,18
"161","Mayiladuthurai","Mayiladuthurai",232618,114613,117979,26
"66","Polur","Tiruvannamalai",232426,114221,118196,9
"167","Mannargudi","Thiruvarur",231935,112530,119401,4
"175","Orathanadu","Thanjavur",231251,112298,118947,6
"157","Bhuvanagiri","Cuddalore",230968,114785,116164,19
"65","Kalasapakkam","Tiruvannamalai",230766,114155,116592,19
"215","Tiruchendur","Thoothukudi",230702,112367,118305,30
"158","Chidambaram","Cuddalore",229136,112664,116443,29
"125","Udumalaipettai","Tiruppur",228524,109103,119396,25
"204","Sattur","Virudhunagar",227963,110693,117207,63
"188","Melur","Madurai",227789,113091,114687,11
"183","Aranthangi","Pudukkottai",227588,112282,115305,1
"220","Vasudevanallur","Tenkasi",227369,110960,116396,13
"75","Vikravandi","Viluppuram",227355,112050,115276,29
"93","Senthamangalam","Namakkal",227327,111214,116087,26
"135","Karur","Karur",226584,106684,119859,41
"82","Attur","Salem",226481,109943,116517,21
"40","Katpadi","Vellore",225809,108863,116914,32
"225","Ambasamudram","Tirunelveli",225714,109384,116318,12
"205","Sivakasi","Virudhunagar",225461,109420,116013,28
"166","Thiruthuraipoondi","Thiruvarur",225363,111001,114348,14
"233","Vilavancode","Kanniyakumari",225219,111990,113226,3
"50","Tirupattur","Tirupattur",224918,111873,113016,29
"159","Kattumannarkoil","Cuddalore",224565,111691,112864,10
"90","Salem (South)","Salem",224097,109918,114130,49
"180","Pudukkottai","Pudukkottai",223928,109962,113943,23
"179","Viralimalai","Pudukkottai",223084,110011,113040,33
"12","Perambur","Chennai",222792,107995,114726,71
"203","Srivilliputhur","Virudhunagar",222367,108109,114218,40
"137","Kulithalai","Karur",221988,108343,113638,7
"104","Bhavani","Erode",221393,108203,113170,20
"155","Cuddalore","Cuddalore",221152,105300,115773,79
"101","Dharapuram","Tiruppur",220743,106142,114593,8
"92","Rasipuram","Namakkal",220554,107813,112728,13
"181","Thirumayam","Pudukkottai",219279,107006,112270,3
"130","Nilakkottai","Dindigul",219077,107389,111673,15
"191","Madurai North","Madurai",218719,106263,112410,46
"128","Oddanchatram","Dindigul",217698,104519,113177,2
"72","Tindivanam","Viluppuram",217609,106762,110836,11
"141","Tiruchirappalli (East)","Tiruchirappalli",217397,104883,112460,54
"97","Kumarapalayam","Namakkal",217224,104916,112239,69
"81","Gangavalli","Salem",216794,105720,111067,7
"102","Kangayam","Tiruppur",216646,103784,112849,13
"45","Kilvaithinankuppam","Vellore",213451,104458,108985,8
"216","Srivaikuntam","Thoothukudi",212885,105099,107782,4
"177","Peravurani","Thanjavur",212826,104268,108543,15
"126","Madathukulam","Tiruppur",212742,102309,110417,16
"48","Ambur","Tirupattur",212631,103478,109113,40
"145","Musiri","Tiruchirappalli",212612,103631,108965,16
"190","Sholavandan","Madurai",212502,104246,108243,13
"202","Rajapalayam","Virudhunagar",212220,103236,108951,33
"103","Perundurai","Erode",212084,101851,110225,8
"69","Vandavasi","Tiruvannamalai",211811,104662,107144,5
"26","Velachery","Chennai",211691,102235,109411,45
"35","Madurantakam","Chengalpattu",211295,103943,107288,64
"43","Vellore","Vellore",211063,101554,109460,49
"143","Lalgudi","Tiruchirappalli",211043,102156,108861,26
"182","Alangudi","Pudukkottai",210296,103987,106309,0
"146","Thuraiyur","Tiruchirappalli",209011,101144,107837,30
"73","Vanur","Viluppuram",207984,101938,106030,16
"71","Mailam","Viluppuram",207665,103451,104195,19
"13","Kolathur","Chennai",207251,99607,107607,37
"96","Tiruchengodu","Namakkal",206928,100412,106475,41
"151","Tittakudi","Cuddalore",206770,101774,104992,4
"207","Aruppukkottai","Virudhunagar",206497,100000,106468,29
"100","Modakkurichi","Erode",206122,98532,107577,13
"105","Anthiyur","Erode",205737,100339,105371,27
"208","Tiruchuli","Virudhunagar",204293,100645,103634,14
"213","Vilathikulam","Thoothukudi",203732,99913,103804,15
"95","Paramathi-Velur","Namakkal",203567,97727,105830,10
"136","Krishnarayapuram","Karur",202087,98262,103794,31
"34","Cheyyur","Chengalpattu",202055,100103,101934,18
"123","Pollachi","Coimbatore",202015,96061,105919,35
"23","Saidapet","Chennai",200697,96950,103685,62
"38","Arakkonam","Ranipet",199165,96982,102157,26
"206","Virudhunagar","Virudhunagar",198616,96436,102141,39
"193","Madurai Central","Madurai",196856,95632,101198,26
"22","Virugampakkam","Chennai",196536,95025,101461,50
"11","Dr. Radhakrishnan Nagar","Chennai",195856,93576,102201,79
"178","Gandarvakkottai","Pudukkottai",194732,98028,96695,9
"25","Mylapore","Chennai",194731,93017,101691,23
"134","Aravakurichi","Karur",194505,92738,101763,4
"114","Tiruppur (South)","Tiruppur",193614,94579,99011,24
"153","Neyveli","Cuddalore",189024,94505,94503,16
"108","Udhagamandalam","The Nilgiris",187425,89066,98348,11
"120","Coimbatore (South)","Coimbatore",186509,90214,96263,32
"165","Vedaranyam","Nagapattinam",186034,91735,94299,0
"109","Gudalur","The Nilgiris",183888,89206,94675,7
"21","Anna Nagar","Chennai",181402,87325,94029,48
"15","Thiru-Vi-Ka-Nagar","Chennai",178793,85724,93008,61
"192","Madurai South","Madurai",177605,87179,90378,48
"98","Erode (East)","Erode",176228,84202,91989,37
"110","Coonoor","The Nilgiris",175820,83045,92768,7
"163","Nagapattinam","Nagapattinam",172979,84493,88464,22
"124","Valparai","Coimbatore",172284,81504,90759,21
"164","Kilvelur","Nagapattinam",168934,83392,85535,7
"19","Chepauk-Thiruvallikeni","Chennai",163866,79412,84396,58
"14","Villivakkam","Chennai",159764,76947,82785,32
"17","Royapuram","Chennai",156931,75870,81004,57
"24","Thiyagarayanagar","Chennai",154943,74682,80228,33
"20","Thousand Lights","Chennai",153908,73500,80343,65
"16","Egmore","Chennai",134879,65677,69149,53
"18","Harbour","Chennai",116896,58221,58620,55
